,Asset Turnover Ratio ,Current Ratio,Debt to Equity Ratio,Dividend Yield,Interest Coverage Ratio,Inventory Turnover Ratio ,Price to Earnings,Price-to-Book Ratio (P/B),Profit Margin,Quick Ratio ,Return on Assets (ROA),Return on Equity (ROE),Clusters
HP,0.23,4.76,0.11,0.05307692307692307,-2.17,7.1,-96.29629629629629,-96.29629629629629,-0.38874561337501623,4.76,-0.007945736108943889,-0.011603584884548128,0
HPE,0.62,1.28,0.4,0.01566951566951567,8.07,17.88,7.7142857142857135,7.7142857142857135,0.4041682649277586,1.28,0.038895041220622616,0.09425972864171761,2
HRL,1.52,1.93,0.06,0.018867924528301886,103.34,7.44,18.74390243902439,18.74390243902439,1.0207322695401468,1.93,0.1449635991609541,0.2226132872859223,7
HRS,0.59,1.33,1.35,0.014627367805163462,4.34,5.19,52.79150579150579,52.79150579150579,0.5442913385826772,1.33,0.046098699566522176,0.18095549738219896,2
HSY,1.37,0.95,2.99,0.02201430930104568,12.96,5.72,32.64071856287425,32.64071856287425,0.36965066040215533,0.95,0.13472941904669417,0.7214891427529341,6
IBM,0.7,1.21,1.9,0.03393595360029617,20.57,26.82,13.091276252019385,13.091276252019385,0.5797158064358612,1.21,0.10744474813112025,0.8324218202215679,9
IFF,0.81,1.79,0.66,0.01596169193934557,10.88,2.91,29.77425742574258,29.77425742574258,0.715319378903049,1.79,0.10883676111541349,0.25468554087924555,2
INTC,0.55,1.75,0.31,0.02572347266881029,18.64,4.33,19.07075471698113,19.07075471698113,1.2285340002381804,1.75,0.10009217484111968,0.16887943030203814,5
IP,0.66,1.71,2.55,0.030578938326747983,2.38,6.49,26.70183486238532,26.70183486238532,0.3079019073569482,1.71,0.029555039722758036,0.23274974253347064,5
IR,0.79,1.55,0.56,0.014543899048230136,8.86,6.67,16.550442477876107,16.550442477876107,0.566353347400729,1.55,0.08819031232824336,0.2537865112520845,2
ITW,0.88,2.22,1.69,0.015480874669418821,13.27,7.3,27.198245614035088,27.198245614035088,0.8426501035196687,2.22,0.1293788543454765,0.38954823889739665,2
JCI,0.81,1.05,0.61,0.02787121576165305,6.13,10.23,-32.01538461538461,-32.01538461538461,-0.16300469483568075,1.05,-0.029252182118424157,-0.08365458750963763,5
JNJ,0.52,2.47,0.32,0.02212078651685393,28.28,2.68,24.013490725126477,24.013490725126477,0.8292805214339434,2.47,0.12397778294143662,0.23246661981728742,2
K,0.86,0.66,3.51,0.03319772172497966,3.28,6.64,31.352040816326532,31.352040816326532,0.20654761904761904,0.66,0.04546347854569276,0.32612781954887216,5
KHC,0.22,0.92,0.52,0.030634858558206236,5.43,6.38,27.298932384341633,27.298932384341633,1.0545876887340302,0.92,0.029534938563749766,0.06296264193464506,5
KLAC,0.61,3.86,4.44,0.019198818534244048,7.98,1.77,24.129175946547885,24.129175946547885,2.3786035712084166,3.86,0.1866173682581444,1.3438647306541442,0
KO,0.47,1.28,1.29,0.030185424752048294,12.1,5.9,31.127516778523493,31.127516778523493,0.6914927428753046,1.28,0.07244735995027361,0.25541989512405106,5
KR,3.41,0.76,1.42,0.019029495718363466,7.42,14.42,10.20388349514563,10.20388349514563,0.09845954434418465,0.76,0.05826474319261291,0.2895894428152493,6
KSU,0.27,0.87,0.56,0.012548721361346136,7.78,5.58,23.744920993227993,23.744920993227993,1.033953287197232,0.87,0.057319266275026974,0.12214188999310222,2
LEG,1.26,1.88,0.88,0.027391659852820934,13.55,5.57,17.72463768115942,17.72463768115942,0.9722782258064516,1.88,0.13000404367165386,0.355379513633014,5
LLY,0.57,1.37,0.6,0.023386449615957813,19.22,1.61,33.810077519379846,33.810077519379846,0.42430254184748917,1.37,0.07696611365546868,0.1878761675348116,5
LOW,1.87,1.01,1.51,0.01336831584207896,8.93,4.19,29.31868131868132,29.31868131868132,0.20444180051556612,1.01,0.098925350220687,0.4041024301019075,6
LRCX,0.54,3.81,0.57,0.00584396610499659,8.12,3.41,39.337164750957854,39.337164750957854,2.543522326344412,3.81,0.13834976377839825,0.28802410782766424,0
LUV,0.92,0.66,0.33,0.006400538992757285,48.29,18.93,16.72394366197183,16.72394366197183,0.3300970873786408,0.66,0.10529279279279279,0.3049741777656972,9
LYB,1.26,2.11,1.39,0.03365676167374166,17.25,5.9,10.836801752464401,10.836801752464401,4.605042016806722,2.11,0.16856351891725624,0.585648854961832,5
M,1.29,1.34,1.65,0.06565895134624468,5.62,2.99,6.574534161490683,6.574534161490683,0.07489413188142771,1.34,0.030083592534992223,0.1456470588235294,5
MCK,3.45,1.1,0.73,0.007162753680859531,10.21,12.11,15.544329896907218,15.544329896907218,0.679078489150817,1.1,0.08963456676626062,0.5681308830121022,6
MDLZ,0.42,0.59,0.53,0.017552413456850314,3.82,6.22,39.06666666666667,39.06666666666667,0.2536697247706422,0.59,0.02639912162054644,0.059224618020848205,5
MDT,0.28,3.29,0.58,0.01940260403369926,4.13,2.64,31.588709677419356,31.588709677419356,0.4147873545463907,3.29,0.04036800224489387,0.07736780439083418,0
MKC,0.96,1.0,0.65,0.017328228893814225,11.52,3.52,26.899728997289973,26.899728997289973,0.40195744680851064,1.0,0.10477394738009672,0.28278050532870314,2
MLM,0.54,1.99,0.36,0.007586972612879348,8.43,5.87,32.60331825037707,32.60331825037707,1.7152315477510534,1.99,0.06110347252666434,0.10484501454667704,2
MMM,0.92,1.89,1.04,0.020061449484908733,36.44,4.36,27.122549019607842,27.122549019607842,0.8263786614302078,1.89,0.1543492878537808,0.43132900580799455,2
MON,0.65,1.21,1.64,0.017683176422431435,5.57,1.93,40.852842809364546,40.852842809364546,0.7611990569215223,1.21,0.11451155249290636,0.4984561093956771,2
MOS,0.42,2.07,0.39,0.051377860812704346,2.72,4.3,25.188235294117646,25.188235294117646,0.9789612097304405,2.07,0.01710275435896258,0.03124278730145408,5
MPC,1.45,1.46,0.78,0.023656288050095668,4.39,9.13,26.013574660633484,26.013574660633484,0.7314641744548287,1.46,0.027229502493331788,0.0886907909647201,5
MRK,0.4,1.78,0.61,0.028960551033187225,7.72,2.9,45.304964539007095,45.304964539007095,0.40155705797992214,1.78,0.03851482132856483,0.087742859700958,5
MRO,0.15,1.64,0.38,0.014357501794687725,-2.26,7.8,-5.337164750957855,-5.337164750957855,-4.421487603305785,1.64,-0.06623131441304819,-0.11534522718697784,1
MSFT,0.46,2.35,0.57,0.017637355665524677,16.89,12.72,37.528571428571425,37.528571428571425,1.059140859140859,2.35,0.10947164083554473,0.29451227134463936,2
NBL,0.15,1.32,0.75,0.01440922190201729,-4.4,10.62,-11.965517241379311,-11.965517241379311,-2.183807439824945,1.32,-0.041246487022648375,-0.09623915139826422,1
NEM,0.29,2.67,0.38,0.003440063508864779,0.22,2.53,-32.02542372881356,-32.02542372881356,-2.6909871244635193,2.67,-0.024898737193233263,-0.05524229074889868,1
NOC,0.97,1.22,1.34,0.011880515953835708,10.71,23.08,24.167350287120595,24.167350287120595,0.8513931888544891,1.22,0.08996483192933671,0.398406374501992,9
NOV,0.3,2.58,0.19,0.017893810501613375,-23.98,1.84,-5.318252730109204,-5.318252730109204,-1.8026905829596414,2.58,-0.09025257249766136,-0.14722578282365867,1
NSC,0.28,0.98,0.77,0.017777777777777778,5.59,11.53,23.62099644128114,23.62099644128114,0.6080933284724754,0.98,0.04868651488616462,0.13685592385953396,5
NTAP,0.57,1.76,0.52,0.01615798922800718,8.04,17.78,57.87012987012987,57.87012987012987,0.26733193277310924,1.76,0.05071236425226661,0.17667476570635196,2
NUE,1.1,2.72,0.47,0.025,8.17,6.13,24.193548387096776,24.193548387096776,1.3343214452687089,2.72,0.05587710210780765,0.10735932288491196,0
OMC,0.68,0.91,2.28,0.029176279006649476,10.25,11.27,15.416317991631798,15.416317991631798,2.587519711646767,0.91,0.05194769953009176,0.46835752732017616,5
ORCL,0.33,3.74,0.85,0.012182741116751269,8.8,28.44,23.79227053140097,23.79227053140097,0.9959458017710445,3.74,0.08321447673382064,0.19740320159022182,0
PCAR,0.81,2.35,0.89,0.012813667912439935,9.89,17.74,50.62162162162162,50.62162162162162,0.37991552577920185,2.35,0.024713640110280533,0.07516857817993199,2
PDCO,1.67,2.11,0.7,0.022860045720091444,7.03,6.89,20.612565445026178,20.612565445026178,0.16862183253755172,2.11,0.04853806119284118,0.11853197442545359,6
PEP,0.87,1.28,2.67,0.02652092106442075,7.37,10.37,25.598623853211006,25.598623853211006,0.2558722458055387,1.28,0.09084645528011828,0.5308227795018032,5
PFE,0.31,1.25,0.53,0.032948929159802305,8.04,1.72,31.12820512820513,31.12820512820513,0.486284289276808,1.25,0.04308491580078825,0.11148022249690977,5
PG,0.51,1.1,0.34,0.030141643059490086,24.09,6.47,23.9159891598916,23.9159891598916,0.8253985351141749,1.1,0.12054807450289454,0.267278212797126,5
PH,0.93,2.2,0.58,0.013658536585365854,9.17,7.13,31.32427843803056,31.32427843803056,0.6763796180709591,2.2,0.08156534545247644,0.21494146227915165,2
PKI,0.5,1.97,0.49,0.003903527115572285,6.88,4.12,33.83490566037736,33.83490566037736,0.3899231966183213,1.97,0.05623677632044778,0.11101897660252051,2
PNR,0.42,1.82,1.01,0.018828157931712802,4.78,3.65,24.971929824561403,24.971929824561403,0.5332380271622588,1.82,0.04404149447583706,0.1302634204749551,2
PPG,0.9,1.52,0.78,0.013247282608695652,7.62,4.96,35.90243902439025,35.90243902439025,0.23948661933369744,1.52,0.05135863199812603,0.1759983945414409,2
PSX,1.71,1.34,0.43,0.026982378854625552,7.48,20.14,31.095890410958905,31.095890410958905,0.9493284493284493,1.34,0.03200905722519556,0.06731601731601732,6
PVH,0.74,1.84,0.67,0.0011690437222352116,6.53,2.99,18.622641509433965,18.622641509433965,0.15096103610416037,1.84,0.05132567966792566,0.12059837884146475,2
PX,0.56,1.16,1.78,0.020958502165711893,12.77,10.84,27.47408829174664,27.47408829174664,1.3100436681222707,1.16,0.08188219880997871,0.3417634996582365,5
PXD,0.24,2.1,0.26,0.0005526770293609672,-3.63,13.77,-43.33832335329342,-43.33832335329342,-1.7107692307692308,2.1,-0.03668998284281378,-0.06644359464627152,1
QCOM,0.46,3.14,0.31,0.038831218762014605,24.01,6.4,13.653543307086615,13.653543307086615,0.927765237020316,3.14,0.0470979201283447,0.07760085593807037,0
RCL,0.39,0.17,0.89,0.014166183414795792,5.18,42.61,20.355817875210793,20.355817875210793,1.1664088558470949,0.17,0.061341979475529294,0.15916926607945217,9
RL,1.2,2.55,0.23,0.022131238242779683,27.29,2.97,19.560606060606062,19.560606060606062,-0.031529815202895786,2.55,-0.015982617093191695,-0.026522435897435897,2
